node_id,text,is_semantic_human,AI_Suggest,EXP-A(Regex),EXP-B(Embed),EXP-C(Fusion),note
doc_chuong-iii_muc-1_dieu-26_p180,,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-26_khoan-1_p223,"Được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất khi có đủ điều kiện theo quy định của pháp luật về đất đai.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-26_khoan-2_p365,"Hưởng thành quả lao động, kết quả đầu tư trên đất sử dụng hợp pháp.",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-26_khoan-3_p433,"Hưởng các lợi ích khi Nhà nước đầu tư để bảo vệ, cải tạo và phát triển đất nông nghiệp.",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-26_khoan-4_p521,"Được Nhà nước hướng dẫn và giúp đỡ trong việc cải tạo, phục hồi đất nông nghiệp.",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-26_khoan-5_p602,"Được Nhà nước bảo hộ khi người khác xâm phạm quyền, lợi ích hợp pháp về đất đai của mình.",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-26_khoan-6_p692,Được quyền chuyển mục đích sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan.,,1,0,1,1,
doc_chuong-iii_muc-1_dieu-26_khoan-7_p803,"Được bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất theo quy định của Luật này.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-26_khoan-8_p893,"Khiếu nại, tố cáo, khởi kiện về những hành vi vi phạm quyền sử dụng đất hợp pháp của mình và những hành vi khác vi phạm pháp luật về đất đai.",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-27_p1035,,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-27_khoan-1_p1179,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan.",,1,0,1,1,
