node_id,text,is_semantic,note
doc_chuong-iii_muc-4_dieu-44_p34424,,0,AI Annotated
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-h_p4356,"Người gốc Việt Nam định cư ở nước ngoài được phép nhập cảnh vào Việt Nam được mua, thuê mua nhà ở gắn liền với quyền sử dụng đất ở, nhận quyền sử dụng đất ở trong dự án phát triển nhà ở; nhận thừa kế quyền sử dụng đất ở và các loại đất khác trong cùng thửa đất có nhà ở theo quy định của pháp luật về dân sự; nhận tặng cho nhà ở gắn liền với quyền sử dụng đất ở từ những người thuộc hàng thừa kế theo quy định của pháp luật về dân sự;",1,AI Annotated
doc_chuong-iii_muc-1_dieu-26_khoan-6_p692,Được quyền chuyển mục đích sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan.,1,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-5_p41303,"Trường hợp người sử dụng đất được chậm thực hiện nghĩa vụ tài chính hoặc được ghi nợ nghĩa vụ tài chính thì phải thực hiện xong nghĩa vụ tài chính trước khi thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, tặng cho quyền sử dụng đất, thế chấp, góp vốn bằng quyền sử dụng đất.",1,AI Annotated
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-b_p14466,"Thế chấp tài sản thuộc sở hữu của mình gắn liền với đất tại các tổ chức tín dụng được phép hoạt động tại Việt Nam, tại tổ chức kinh tế khác hoặc cá nhân theo quy định của pháp luật;",1,AI Annotated
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-d_p12391,"Góp vốn bằng quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất với tổ chức trong nước, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài theo quy định của pháp luật.",1,AI Annotated
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-a_p11392,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;,1,AI Annotated
doc_chuong-iii_muc-1_dieu-28_khoan-2_p7178,"Tổ chức trong nước, cá nhân được nhận chuyển nhượng quyền sử dụng đất theo quy định của pháp luật không phụ thuộc vào nơi cư trú, nơi đóng trụ sở, trừ trường hợp quy định tại khoản 8 Điều 45 và Điều 48 của Luật này.",1,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-4_p40816,"Trường hợp nhận thừa kế quyền sử dụng đất thì người nhận thừa kế được thực hiện quyền khi có Giấy chứng nhận quyền sử dụng đất hoặc Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở hoặc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất hoặc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất hoặc đủ điều kiện để cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất theo quy định của Luật này.",1,AI Annotated
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-d_p4162,"Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận tặng cho quyền sử dụng đất theo quy định của Luật này;",1,AI Annotated
doc_chuong-iii_muc-4_dieu-44_khoan-3_diem-c_p36840,Trong trường hợp chưa chuyển nhượng hoặc chưa tặng cho quyền sử dụng đất thì người nhận thừa kế hoặc người đại diện theo ủy quyền bằng văn bản nộp hồ sơ về việc nhận thừa kế tại tổ chức đăng ký đất đai để cập nhật vào Sổ địa chính.,1,AI Annotated
doc_chuong-iii_muc-5_dieu-48_khoan-1_p45727,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này được để thừa kế, tặng cho, chuyển nhượng quyền sử dụng đất cho người thuộc hàng thừa kế là đối tượng quy định tại khoản 2 Điều 16 của Luật này.
Trường hợp người sử dụng đất chết mà không có người thừa kế thuộc hàng thừa kế là đối tượng quy định tại khoản 2 Điều 16 của Luật này thì Nhà nước thu hồi đất và bồi thường tài sản gắn liền với đất cho người thừa kế theo quy định của pháp luật; trường hợp người sử dụng đất chuyển khỏi địa bàn cấp tỉnh nơi có đất đến nơi khác sinh sống hoặc không còn nhu cầu sử dụng mà không tặng cho, chuyển nhượng quyền sử dụng đất cho người thuộc hàng thừa kế là đối tượng quy định tại khoản 2 Điều 16 của Luật này thì Nhà nước thu hồi đất và bồi thường tài sản gắn liền với đất theo quy định của pháp luật cho người có đất thu hồi. Diện tích đất đã thu hồi được dùng để tiếp tục giao đất, cho thuê đất cho cá nhân khác là người dân tộc thiểu số theo chính sách quy định tại Điều 16 của Luật này.",1,AI Annotated
