ID,Type,M6_Raw,SemanticType,Status,Category,AuditNote,RuleID
doc_chuong-iii_muc-1_dieu-26_khoan-1_p223#SUBJECT#1,LocalMention,Người sử dụng đất,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S07] Auto-corrected: 'Người sử dụng đất' → subtype=Individual, concept=LO2024.SUBJECT.LAND_USER",RULE_MAP_S07
doc_chuong-iii_muc-1_dieu-26_khoan-1_p223#ACTION#1,LocalMention,Cấp Giấy chứng nhận quyền sử dụng đất,LegalAction,CORRECTED,CONCEPT_MAP,"[RULE_MAP_A04] Auto-corrected: 'Cấp Giấy chứng nhận quyền sử dụng đất' → subtype=CertIssuanceAction, concept=LO2024.ACTION.CERT_ISSUANCE",RULE_MAP_A04
doc_chuong-iii_muc-1_dieu-26_khoan-3_p433#SUBJECT#1,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-1_dieu-26_khoan-3_p433#OBJECT#1,LocalMention,Đất nông nghiệp,LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O03] Auto-corrected: 'Đất nông nghiệp' → subtype=AgriculturalLand, concept=LO2024.OBJECT.AGRICULTURAL_LAND",RULE_MAP_O03
doc_chuong-iii_muc-1_dieu-26_khoan-4_p521#SUBJECT#1,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-1_dieu-26_khoan-4_p521#OBJECT#1,LocalMention,"Cải tạo, phục hồi đất nông nghiệp",LegalObject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_O03] Auto-corrected: 'Cải tạo, phục hồi đất nông nghiệp' → subtype=AgriculturalLand, concept=LO2024.OBJECT.AGRICULTURAL_LAND",RULE_MAP_O03
doc_chuong-iii_muc-1_dieu-26_khoan-5_p602#SUBJECT#1,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
doc_chuong-iii_muc-1_dieu-26_khoan-6_p692#SUBJECT#1,LocalMention,Người sử dụng đất,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S07] Auto-corrected: 'Người sử dụng đất' → subtype=Individual, concept=LO2024.SUBJECT.LAND_USER",RULE_MAP_S07
doc_chuong-iii_muc-1_dieu-26_khoan-7_p803#SUBJECT#1,LocalMention,Người sử dụng đất,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S07] Auto-corrected: 'Người sử dụng đất' → subtype=Individual, concept=LO2024.SUBJECT.LAND_USER",RULE_MAP_S07
doc_chuong-iii_muc-1_dieu-26_khoan-7_p803#SUBJECT#2,LocalMention,Nhà nước,LegalSubject,CORRECTED,CONCEPT_MAP,"[RULE_MAP_S04] Auto-corrected: 'Nhà nước' → subtype=CentralAuthority, concept=LO2024.SUBJECT.STATE",RULE_MAP_S04
